Source Name,Sample Name,Characteristics: organism,Factor Value: Spaceflight,Factor Value: Ecotype,Characteristics: genotype,Characteristics: Material Type,Characteristics: age,Characteristics: Seed Source,Protocol REF,Parameter Value: Canister and Position,Parameter Value: Hardware,Parameter Value: Growth Temperature,Parameter Value: growth environment,Parameter Value: Growth Medium,Parameter Value: light source,Parameter Value: light cycle,Parameter Value: Growth Time,Parameter Value: Quantity of Growth Medium,Parameter Value: container,Parameter Value: Number of seeds per container,Parameter Value: Container Diameter,Protocol REF,Parameter Value: Sample storage temperature,Parameter Value: Age at sample collection,Parameter Value: Sample Preservation Method,Comment: Original Submitted Sample Name
Whole Seedling,Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1,Arabidopsis thaliana,Ground Control,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,A1,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep1-GC-A1
Whole Seedling,Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4,Arabidopsis thaliana,Ground Control,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,A4,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep1-GC-A4
Whole Seedling,Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1,Arabidopsis thaliana,Ground Control,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,B1,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep1-GC-B1
Whole Seedling,Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4,Arabidopsis thaliana,Ground Control,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,B4,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep1-GC-B4
Whole Seedling,Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1,Arabidopsis thaliana,Space Flight,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,A1,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep2-FL-A1
Whole Seedling,Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4,Arabidopsis thaliana,Space Flight,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,A4,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep2-FL-A4
Whole Seedling,Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,Arabidopsis thaliana,Space Flight,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,B1,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep2-FL-B1
Whole Seedling,Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,Arabidopsis thaliana,Space Flight,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,B4,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep2-FL-B4
Whole Seedling,Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,Arabidopsis thaliana,Ground Control,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,A1,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep2-GC-A1
Whole Seedling,Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,Arabidopsis thaliana,Ground Control,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,A4,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep2-GC-A4
Whole Seedling,Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,Arabidopsis thaliana,Ground Control,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,B1,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep2-GC-B1
Whole Seedling,Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,Arabidopsis thaliana,Ground Control,Col-0,Wild Type,Seedlings,8 day,"Lehle Seeds (Round Rock, TX, USA)",growth protocol,B4,BRIC-PDFU (Petri Dish Fixation Unit),24 degree Celsius,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",continuous dark (no light) regimen,dark 24 hour,8 day,15 milliliter,Petri Dish,64,60 millimeter,sample collection protocol,-80 degree Celsius,8 day,RNALater,Rep2-GC-B4
